 frequency    ntf_gmc_fd_db ntf_ref_se_db
 6.55360e+00 -2.02276e+02 -2.11909e+02 
 6.70663e+00 -2.01797e+02 -2.11107e+02 
 6.86323e+00 -2.01311e+02 -2.10305e+02 
 7.02349e+00 -2.00817e+02 -2.09503e+02 
 7.18749e+00 -2.00316e+02 -2.08701e+02 
 7.35532e+00 -1.99808e+02 -2.07899e+02 
 7.52707e+00 -1.99292e+02 -2.07097e+02 
 7.70283e+00 -1.98769e+02 -2.06295e+02 
 7.88269e+00 -1.98238e+02 -2.05493e+02 
 8.06675e+00 -1.97700e+02 -2.04691e+02 
 8.25511e+00 -1.97156e+02 -2.03889e+02 
 8.44787e+00 -1.96604e+02 -2.03087e+02 
 8.64513e+00 -1.96045e+02 -2.02285e+02 
 8.84700e+00 -1.95479e+02 -2.01483e+02 
 9.05358e+00 -1.94906e+02 -2.00681e+02 
 9.26498e+00 -1.94327e+02 -1.99879e+02 
 9.48132e+00 -1.93741e+02 -1.99077e+02 
 9.70271e+00 -1.93148e+02 -1.98276e+02 
 9.92927e+00 -1.92549e+02 -1.97474e+02 
 1.01611e+01 -1.91944e+02 -1.96672e+02 
 1.03984e+01 -1.91332e+02 -1.95870e+02 
 1.06412e+01 -1.90715e+02 -1.95068e+02 
 1.08897e+01 -1.90091e+02 -1.94266e+02 
 1.11439e+01 -1.89462e+02 -1.93464e+02 
 1.14042e+01 -1.88827e+02 -1.92662e+02 
 1.16705e+01 -1.88186e+02 -1.91860e+02 
 1.19430e+01 -1.87540e+02 -1.91058e+02 
 1.22218e+01 -1.86889e+02 -1.90256e+02 
 1.25072e+01 -1.86232e+02 -1.89454e+02 
 1.27993e+01 -1.85570e+02 -1.88652e+02 
 1.30981e+01 -1.84904e+02 -1.87850e+02 
 1.34040e+01 -1.84232e+02 -1.87048e+02 
 1.37170e+01 -1.83556e+02 -1.86246e+02 
 1.40373e+01 -1.82875e+02 -1.85444e+02 
 1.43650e+01 -1.82190e+02 -1.84642e+02 
 1.47005e+01 -1.81501e+02 -1.83840e+02 
 1.50437e+01 -1.80807e+02 -1.83039e+02 
 1.53950e+01 -1.80109e+02 -1.82237e+02 
 1.57545e+01 -1.79408e+02 -1.81435e+02 
 1.61223e+01 -1.78702e+02 -1.80633e+02 
 1.64988e+01 -1.77993e+02 -1.79831e+02 
 1.68840e+01 -1.77280e+02 -1.79029e+02 
 1.72783e+01 -1.76564e+02 -1.78227e+02 
 1.76817e+01 -1.75845e+02 -1.77425e+02 
 1.80946e+01 -1.75122e+02 -1.76623e+02 
 1.85171e+01 -1.74396e+02 -1.75821e+02 
 1.89495e+01 -1.73667e+02 -1.75019e+02 
 1.93920e+01 -1.72935e+02 -1.74217e+02 
